task,seed,call_index,latency_seconds
transfer,0,1,1.8397432079946157
transfer,0,2,2.4625605000182986
transfer,0,3,2.8330079579900485
transfer,0,4,3.2100715830165427
transfer,0,5,2.116308750002645
transfer,0,6,1.9498560409992933
transfer,0,7,2.340883750002831
transfer,0,8,5.90094575000694
transfer,0,9,1.9352853749878705
transfer,0,10,4.878630916995462
transfer,0,11,2.005089667014545
transfer,0,12,3.6416532500006724
transfer,0,13,3.716065874992637
transfer,1,1,3.3446420410182327
transfer,1,2,2.4463527089974377
transfer,1,3,2.743319417000748
transfer,1,4,2.5941732919891365
transfer,1,5,2.3636807500151917
transfer,1,6,2.408447708003223
transfer,1,7,2.0652418750105426
transfer,1,8,2.8080240419949405
transfer,1,9,3.871544833993539
transfer,1,10,2.3422972499975003
transfer,1,11,2.179110958997626
transfer,1,12,2.0396252920036204
transfer,1,13,2.1566310840134975
transfer,2,1,3.6340355410065968
transfer,2,2,2.6722932500124443
transfer,2,3,2.979117832990596
transfer,2,4,2.2451502089970745
transfer,2,5,3.9022612499829847
transfer,2,6,3.9553457080037333
transfer,2,7,2.317221667006379
transfer,2,8,2.4706449590157717
transfer,2,9,2.0388015840144362
transfer,2,10,2.4202861670055427
transfer,2,11,2.1280822919798084
transfer,2,12,2.1641589170030784
transfer,2,13,2.731824707996566
stack,0,1,4.203023125010077
stack,0,2,2.5871350840025116
stack,0,3,2.24394637500518
stack,0,4,3.25980158301536
stack,0,5,3.053807375021279
stack,0,6,3.485375541000394
stack,0,7,3.160459582984913
stack,0,8,4.013954249996459
stack,0,9,2.7240628330037
stack,0,10,2.3799234170001
stack,0,11,1.9487647500063758
stack,0,12,4.632401624985505
stack,0,13,4.069086458010133
stack,1,1,2.4242687500081956
stack,1,2,2.1887739580124617
stack,1,3,2.6055997500079684
stack,1,4,3.0123230000026524
stack,1,5,2.3537988330062944
stack,1,6,2.3646982079953887
stack,1,7,2.173514583002543
stack,1,8,3.3122567079844885
stack,1,9,3.327951874991413
stack,1,10,2.552813292015344
stack,1,11,2.1381005000148434
stack,1,12,3.5847379580081906
stack,1,13,2.5298180420068093
stack,2,1,2.8688095420075115
stack,2,2,2.546690374991158
stack,2,3,3.0371819580032025
stack,2,4,4.40979375000461
stack,2,5,2.9279560830036644
stack,2,6,2.6927089169912506
stack,2,7,2.758298625005409
stack,2,8,3.130796207988169
stack,2,9,1.9556774160009809
stack,2,10,2.5613074579741806
stack,2,11,2.3130649590166286
stack,2,12,2.778664249985013
stack,2,13,2.8736870420107152
barrier,0,1,3.577834249997977
barrier,0,2,2.554833875008626
barrier,0,3,2.531189000001177
barrier,0,4,2.599155291012721
barrier,0,5,1.7860517080116551
barrier,0,6,1.8463412909768522
barrier,0,7,2.4147799169877544
barrier,0,8,2.5240122499817517
barrier,0,9,2.9057620840030722
barrier,0,10,3.015376124996692
barrier,0,11,2.196003582997946
barrier,0,12,3.416147000010824
barrier,0,13,3.096184791007545
barrier,1,1,2.606271917000413
barrier,1,2,2.3246665409824345
barrier,1,3,3.069165791996056
barrier,1,4,2.4339534580067266
barrier,1,5,3.1500279169995338
barrier,1,6,4.327768334012944
barrier,1,7,3.2121702920121606
barrier,1,8,2.5887419580249116
barrier,1,9,3.060027875006199
barrier,1,10,4.367714374995558
barrier,1,11,3.279867249977542
barrier,1,12,2.7212789170152973
barrier,1,13,2.0723487499926705
barrier,2,1,2.8262571249797475
barrier,2,2,2.569300041999668
barrier,2,3,2.7605619160167407
barrier,2,4,2.68714004199137
barrier,2,5,2.2629863750189543
barrier,2,6,2.5610466249927413
barrier,2,7,3.525911709002685
barrier,2,8,2.2542943750158884
barrier,2,9,2.994779541011667
barrier,2,10,2.243152374983765
barrier,2,11,2.104663915990386
barrier,2,12,2.1828151250083465
barrier,2,13,3.4062861249840353
