label,id,task,seed,request_index,latency_ms,http_status,model,input_tokens,output_tokens
Jev,reach-v3-0,reach-v3,0,0,1184.457,200,jev-1.13.0,1322,144
Jev,reach-v3-0,reach-v3,0,1,410.862,200,jev-1.13.0,1384,144
Jev,reach-v3-0,reach-v3,0,2,408.714,200,jev-1.13.0,1412,144
Jev,reach-v3-0,reach-v3,0,3,404.702,200,jev-1.13.0,1434,144
Jev,reach-v3-0,reach-v3,0,4,396.675,200,jev-1.13.0,1457,144
Jev,reach-v3-0,reach-v3,0,5,314.006,200,jev-1.13.0,1460,144
Jev,reach-v3-0,reach-v3,0,6,2867.084,200,jev-1.13.0,1456,144
Jev,reach-v3-0,reach-v3,0,7,10906.068,200,jev-1.13.0,1461,144
Jev,reach-v3-0,reach-v3,0,8,599.102,200,jev-1.13.0,1459,144
Jev,reach-v3-0,reach-v3,0,9,301.952,200,jev-1.13.0,1463,144
Jev,reach-v3-0,reach-v3,0,10,487.26,200,jev-1.13.0,1460,144
Jev,reach-v3-0,reach-v3,0,11,1784.774,200,jev-1.13.0,1459,144
Jev,reach-v3-0,reach-v3,0,12,2299.141,200,jev-1.13.0,1465,144
Jev,reach-v3-0,reach-v3,0,13,1135.866,200,jev-1.13.0,1460,144
Jev,reach-v3-0,reach-v3,0,14,812.004,200,jev-1.13.0,1456,144
Jev,reach-v3-1,reach-v3,1,0,1198.097,200,jev-1.13.0,1319,144
Jev,reach-v3-1,reach-v3,1,1,390.997,200,jev-1.13.0,1384,144
Jev,reach-v3-1,reach-v3,1,2,588.416,200,jev-1.13.0,1408,144
Jev,reach-v3-1,reach-v3,1,3,1511.827,200,jev-1.13.0,1434,144
Jev,reach-v3-1,reach-v3,1,4,970.435,200,jev-1.13.0,1460,144
Jev,reach-v3-1,reach-v3,1,5,405.078,200,jev-1.13.0,1464,144
Jev,reach-v3-1,reach-v3,1,6,397.817,200,jev-1.13.0,1465,144
Jev,reach-v3-1,reach-v3,1,7,443.151,200,jev-1.13.0,1460,144
Jev,reach-v3-1,reach-v3,1,8,384.899,200,jev-1.13.0,1456,144
Jev,reach-v3-1,reach-v3,1,9,661.534,200,jev-1.13.0,1462,144
Jev,reach-v3-1,reach-v3,1,10,536.912,200,jev-1.13.0,1461,144
