label,id,task,seed,request_index,latency_ms,http_status,model,input_tokens,output_tokens
Jev,reach-v3-0,reach-v3,0,0,826.405,200,jev-1.13.0,770,31
Jev,reach-v3-0,reach-v3,0,1,306.506,200,jev-1.13.0,1504,144
Jev,reach-v3-0,reach-v3,0,2,301.003,200,jev-1.13.0,810,31
Jev,reach-v3-0,reach-v3,0,3,306.473,200,jev-1.13.0,1546,144
Jev,reach-v3-0,reach-v3,0,4,999.573,200,jev-1.13.0,844,31
Jev,reach-v3-0,reach-v3,0,5,297.423,200,jev-1.13.0,1580,144
Jev,reach-v3-0,reach-v3,0,6,311.444,200,jev-1.13.0,878,31
Jev,reach-v3-0,reach-v3,0,7,318.373,200,jev-1.13.0,1613,144
Jev,reach-v3-0,reach-v3,0,8,282.825,200,jev-1.13.0,915,31
Jev,reach-v3-0,reach-v3,0,9,292.48,200,jev-1.13.0,1666,144
Jev,reach-v3-0,reach-v3,0,10,274.098,200,jev-1.13.0,929,31
Jev,reach-v3-0,reach-v3,0,11,280.413,200,jev-1.13.0,1695,144
Jev,reach-v3-0,reach-v3,0,12,312.079,200,jev-1.13.0,963,31
Jev,reach-v3-0,reach-v3,0,13,287.46,200,jev-1.13.0,1730,144
Jev,reach-v3-0,reach-v3,0,14,370.996,200,jev-1.13.0,996,31
Jev,reach-v3-0,reach-v3,0,15,289.621,200,jev-1.13.0,1746,144
Jev,reach-v3-0,reach-v3,0,16,346.245,200,jev-1.13.0,1014,31
Jev,reach-v3-0,reach-v3,0,17,345.664,200,jev-1.13.0,1762,144
Jev,reach-v3-0,reach-v3,0,18,372.955,200,jev-1.13.0,998,31
Jev,reach-v3-0,reach-v3,0,19,330.619,200,jev-1.13.0,1759,144
Jev,reach-v3-0,reach-v3,0,20,312.272,200,jev-1.13.0,981,31
Jev,reach-v3-0,reach-v3,0,21,352.187,200,jev-1.13.0,1741,144
Jev,reach-v3-0,reach-v3,0,22,327.39,200,jev-1.13.0,963,31
Jev,reach-v3-0,reach-v3,0,23,394.491,200,jev-1.13.0,1709,144
Jev,reach-v3-0,reach-v3,0,24,297.558,200,jev-1.13.0,945,31
Jev,reach-v3-0,reach-v3,0,25,328.566,200,jev-1.13.0,1677,144
Jev,reach-v3-0,reach-v3,0,26,318.084,200,jev-1.13.0,947,31
Jev,reach-v3-0,reach-v3,0,27,1074.39,200,jev-1.13.0,1678,144
Jev,reach-v3-0,reach-v3,0,28,356.133,200,jev-1.13.0,932,31
Jev,reach-v3-0,reach-v3,0,29,345.078,200,jev-1.13.0,1709,144
Jev,reach-v3-1,reach-v3,1,0,718.009,200,jev-1.13.0,769,31
Jev,reach-v3-1,reach-v3,1,1,269.038,200,jev-1.13.0,1534,144
Jev,reach-v3-1,reach-v3,1,2,317.965,200,jev-1.13.0,838,31
Jev,reach-v3-1,reach-v3,1,3,293.381,200,jev-1.13.0,1604,144
Jev,reach-v3-1,reach-v3,1,4,295.143,200,jev-1.13.0,905,31
Jev,reach-v3-1,reach-v3,1,5,322.787,200,jev-1.13.0,1638,144
Jev,reach-v3-1,reach-v3,1,6,295.672,200,jev-1.13.0,941,31
Jev,reach-v3-1,reach-v3,1,7,323.651,200,jev-1.13.0,1690,144
Jev,reach-v3-1,reach-v3,1,8,289.301,200,jev-1.13.0,993,31
Jev,reach-v3-1,reach-v3,1,9,300.278,200,jev-1.13.0,1758,144
Jev,reach-v3-1,reach-v3,1,10,311.535,200,jev-1.13.0,980,31
Jev,reach-v3-1,reach-v3,1,11,360.383,200,jev-1.13.0,1730,144
Jev,reach-v3-1,reach-v3,1,12,346.841,200,jev-1.13.0,964,31
Jev,reach-v3-1,reach-v3,1,13,320.44,200,jev-1.13.0,1713,144
Jev,reach-v3-1,reach-v3,1,14,328.888,200,jev-1.13.0,983,31
Jev,reach-v3-1,reach-v3,1,15,325.497,200,jev-1.13.0,1717,144
Jev,reach-v3-1,reach-v3,1,16,310.714,200,jev-1.13.0,961,31
Jev,reach-v3-1,reach-v3,1,17,333.993,200,jev-1.13.0,1691,144
Jev,reach-v3-1,reach-v3,1,18,277.526,200,jev-1.13.0,948,31
Jev,reach-v3-1,reach-v3,1,19,449.316,200,jev-1.13.0,1679,144
Jev,reach-v3-1,reach-v3,1,20,345.861,200,jev-1.13.0,931,31
Jev,reach-v3-1,reach-v3,1,21,333.532,200,jev-1.13.0,1661,144
