label,id,task,seed,request_index,latency_ms,http_status,model,input_tokens,output_tokens
Jev,reach-v3-0,reach-v3,0,0,891.005,200,jev-1.13.0,770,31
Jev,reach-v3-0,reach-v3,0,1,355.035,200,jev-1.13.0,1504,144
Jev,reach-v3-0,reach-v3,0,2,364.905,200,jev-1.13.0,810,31
Jev,reach-v3-0,reach-v3,0,3,393.518,200,jev-1.13.0,1546,144
Jev,reach-v3-0,reach-v3,0,4,335.025,200,jev-1.13.0,844,31
Jev,reach-v3-0,reach-v3,0,5,370.315,200,jev-1.13.0,1580,144
Jev,reach-v3-0,reach-v3,0,6,398.054,200,jev-1.13.0,878,31
Jev,reach-v3-0,reach-v3,0,7,380.834,200,jev-1.13.0,1613,144
Jev,reach-v3-0,reach-v3,0,8,326.92,200,jev-1.13.0,915,31
Jev,reach-v3-0,reach-v3,0,9,448.077,200,jev-1.13.0,1666,144
Jev,reach-v3-0,reach-v3,0,10,371.486,200,jev-1.13.0,929,31
Jev,reach-v3-0,reach-v3,0,11,409.978,200,jev-1.13.0,1695,144
Jev,reach-v3-0,reach-v3,0,12,429.622,200,jev-1.13.0,963,31
Jev,reach-v3-0,reach-v3,0,13,381.444,200,jev-1.13.0,1729,144
Jev,reach-v3-0,reach-v3,0,14,368.722,200,jev-1.13.0,995,31
Jev,reach-v3-0,reach-v3,0,15,348.658,200,jev-1.13.0,1745,144
Jev,reach-v3-0,reach-v3,0,16,355.929,200,jev-1.13.0,1013,31
Jev,reach-v3-0,reach-v3,0,17,539.454,200,jev-1.13.0,1761,144
Jev,reach-v3-0,reach-v3,0,18,323.901,200,jev-1.13.0,997,31
Jev,reach-v3-0,reach-v3,0,19,493.815,200,jev-1.13.0,1758,144
Jev,reach-v3-0,reach-v3,0,20,438.032,200,jev-1.13.0,980,31
Jev,reach-v3-0,reach-v3,0,21,314.329,200,jev-1.13.0,1739,144
Jev,reach-v3-0,reach-v3,0,22,339.758,200,jev-1.13.0,962,31
Jev,reach-v3-0,reach-v3,0,23,459.116,200,jev-1.13.0,1708,144
Jev,reach-v3-0,reach-v3,0,24,414.383,200,jev-1.13.0,944,31
Jev,reach-v3-0,reach-v3,0,25,369.05,200,jev-1.13.0,1676,144
Jev,reach-v3-0,reach-v3,0,26,347.222,200,jev-1.13.0,946,31
Jev,reach-v3-0,reach-v3,0,27,387.391,200,jev-1.13.0,1677,144
Jev,reach-v3-0,reach-v3,0,28,402.843,200,jev-1.13.0,931,31
Jev,reach-v3-0,reach-v3,0,29,408.958,200,jev-1.13.0,1707,144
Jev,reach-v3-1,reach-v3,1,0,821.659,200,jev-1.13.0,769,31
Jev,reach-v3-1,reach-v3,1,1,378.299,200,jev-1.13.0,1537,144
Jev,reach-v3-1,reach-v3,1,2,436.334,200,jev-1.13.0,839,31
Jev,reach-v3-1,reach-v3,1,3,376.383,200,jev-1.13.0,1607,144
